Tabla;Code;Name;Modification Date;Format;Data Type;Primary;Mandatory;Formato Logico;columnaLegacy
1872;CD_EVENTO_COMPROME;Identificador de de Referencia de Evento Comprometido;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;CD_PAN;PAN de la tarjeta almacenado en el PIN PAD del Corresponsal/TPV/Cajero;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_CTA_ABONO;Número de Cuenta de Abono o Traduccion de llave transportadora de Corresponsal/TPV/Cajero;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_PAGO_ASIG_TERM;El perfil de pago asignado al terminal.;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;PC_PAGO;El porcentaje de pago;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(5);1872
1872;CD_SEGU_COMER_ELEC;Indicador de Seguridad en Comercio Electronico (VNET) o Código de validación presente (POS/ATM);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;CD_VERIFIC_TARJETA;Bandera de Verificación de la Tarjeta;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_DIFERIMIENTO;Diferimiento;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;CD_PARCILIZACION;Parcialización;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;TP_PLAN;Tipo de plan;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;TP_MULTIPAG_RECIBI;Indicador del Tipo de Multipago Recibido;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;CD_CONVENIO;Número de Convenio;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(9);1872
1872;CD_REFERENCIA;Número de Referencia del Multipago o Número de Celular;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;NB_RAZON_SOCI_CONV;Descripcion de Razon social del Convenio o Identificador Fiscal de Sucursal;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;CD_GUIA_CIE_UDIS;Número de Guia CIE o UDIS;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_FOLIO_SUCURSAL;Código del Folio de Operación en Sucursal;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(7);1872
1872;CD_REQ_REVERSO;Codigo que especifica los requerimientos parciales de un reverso(para tema de cash back);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_CONTA_TRANSACCI;Número del contador de transacción de la aplicación;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_PAIS_TERMINAL;Código de país de la terminal.;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(3);1872
1872;CD_MONEDA_EXT;Código de moneda.;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(3);1872
1872;FH_POSTEADA_ADQ;Fecha de la transacción cuando fue posteada en adquiriente;25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
